pipeline,day,slot,product,volume
j1,1,1,D2,0.0
j1,1,2,D3,0.0
j1,1,3,D1,0.0
j1,2,1,D2,0.0
j1,2,2,D1,0.0
j1,2,3,D3,0.0
j1,3,2,D3,0.0
j1,3,3,D2,0.0
j1,4,1,D1,0.0
j1,4,2,D3,0.0
j2,1,1,D1,0.0
j2,1,2,D3,0.0
j2,1,3,D2,0.0
j2,2,1,D3,0.0
j2,2,2,D2,0.0
j2,2,3,D1,0.0
j2,3,1,D3,0.0
j2,3,2,D2,0.0
j2,3,3,D1,0.0
j2,4,1,D1,0.0
j2,4,2,D1,0.0
j2,4,3,D1,0.0
j3,1,1,D3,0.0
j3,1,2,D2,0.0
j3,1,3,D1,0.0
j3,2,1,D2,0.0
j3,2,2,D3,0.0
j3,2,3,D3,0.0
j3,3,1,D3,0.0
j3,3,2,D2,0.0
j3,3,3,D2,0.0
j3,4,1,D2,0.0
j3,4,2,D2,0.0
j3,4,3,D2,0.0
